Signum	Plats	Socken	Härad	Kommun	Placering	Koordinater	Urspr. plats?	Nuv. koord.	Sockenkod/Fornlämningsnr.	Runtyper	Korsform	Period/Datering	Stilgruppering	Ristare	Materialtyp	Material	Föremål	Övrigt	Alternativt signum	Referens	Bildlänk
U 80  	Sundby	Spånga sn	Sollentuna hd	Stockholm		6585360.1620204	ja		0091 (Stockholm); 3047 (Spånga), 185:1(5) [objektid=10304701850001]		A4; B1; C2; D3; E3; F3; 0	V	Pr4	Torgöt Fotsarve (A); Fot 2 (A); Ärnfast (A); Olev (A) [Källström 2010e:191f]	sten		berghäll		B 148; L 376		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u80&showthumbnails=true
U 81  	Sundby	Spånga sn	Sollentuna hd	Stockholm		6585360.1620204	ja		0091 (Stockholm); 3047 (Spånga), 185:1(5) [objektid=10304701850001]			V	?	(Ärnmund (S) enligt Axelson 1993, anges dock inte i UR 1:111)	sten		berghäll	Tydligen ofullbordad.			
U 82 $ 	Järfälla kyrka	Järfälla sn	Sollentuna hd	Järfälla	SHM (23892)	6589391.1617324			0039 (Järfälla), 250:1 [objektid=10003902500001]			V	?		sten	grå granit	runsten	De sju fragmenten i SHM har tidigare ansetts höra till U 83.	B 162, B 160; L 383	$=Källström 1998a:16ff	http://kulturarvsdata.se/shm/media/html/24396
U 83 †$ 	Järfälla kyrka	Järfälla sn	Sollentuna hd	Järfälla		6589391.1617323			0039 (Järfälla), 250:2 [objektid=10003902500002]			V	?		sten		runsten	I SHM finns sju fragment vilka har överförts till U 82. Huruvida ett eventuellt åttonde fragment med enligt Wessén runföljden ...ta... ska identifieras med något av de andra sju är oklart.		$=Källström 1998a:16ff	
U 84  	Egglunda	Järfälla sn	Sollentuna hd	Järfälla	Nu vid gravfältet Fruns backe.	6588984.1616707		6588512.1615999	0039 (Järfälla), 28:1 (tid plats) [objektid=10003900280001]			V	Pr4		sten	granit	runsten				
U 85  	Lövsta	Järfälla sn (nu Spånga sn)	Sollentuna hd	Stockholm	Vid Hässelby museum, Spånga sn.	6586900.1612650		6585760.1614163	0091 (Stockholm); 3047 (Spånga), 341:2 (urspr. plats) [objektid=10304703410002], 341:1 (nuv. plats) [objektid=10304703410001]; 0039 (Järfälla), 202 [objektid=10003902020001]		A1; B1; C7; D4; E1, E7; F3; 0	V	?		sten	gnejs	runsten				
U 86  	Skylsta	Järfälla sn	Sollentuna hd	Järfälla		6588233.1614445	ja		0039 (Järfälla), 209:1 [objektid=10003902090001]		A4; B1; C2, C6, C7; D1; E3; F3; 0	V	Pr4		sten		berghäll		B 1119, B 159; L 384		
U 87 † 	Skylsta	Järfälla sn	Sollentuna hd	Järfälla		6588233.1614445			0039 (Järfälla), 209:2 [objektid=10003902090002]			V	?		sten		fragment av runsten				
U 88  	Skälby	Järfälla sn	Sollentuna hd	Järfälla		6588531.1615773			0039 (Järfälla), 41:1 [objektid=10003900410001]		A3; B1; C7, C8; D3; E1; F3; 0	V	Pr4?		sten		runsten		B 158; L 385		
U 89  	Skälby	Järfälla sn	Sollentuna hd	Järfälla		6588524.1615770			0039 (Järfälla), 41:2 [objektid=10003900410002]			V	Pr2		sten	granit	runsten		B 158; L 386		
U 90  	Säby	Järfälla sn	Sollentuna hd	Järfälla		6591251.1616658	ja		0039 (Järfälla), 103 [objektid=10003901030001]		A4; B1; C2; D1; E3; F3; 0	V	Pr4	Olev (A); Fot 2 (A); Ärnfast (A)	sten		berghäll		B 163, B 139; L 390		
U 91  	Vible	Järfälla sn	Sollentuna hd	Järfälla	I Jakobsbergs park.	6590500.1614500		6591187.1614864	0039 (Järfälla), 1:2 (nuv. plats) [objektid=10003900010002]		A4; B3; C8, C9; D1; E4; F3; 0	V	Pr3		sten	skifferhaltig gråsten	runsten		B 1114, B 157; L 388		
U 92  	Vible	Järfälla sn	Sollentuna hd	Järfälla	I Jakobsbergs park.	6590500.1614500		6591205.1614896	0039 (Järfälla), 1:1 (nuv. plats) [objektid=10003900010001]		A1; B3; C9; D1; E3, E7; F3; 0	V	RAK		sten	granit	runsten		B 161; L 387		
U 93 †$ 	Väddesta (nu: Veddesta)	Järfälla sn	Sollentuna hd	Järfälla		6588672.1616323			0039 (Järfälla), 269:2 [objektid=10003902690002]			V	?		sten		runsten			$=Källström 1998a:25ff	
U 94  	Sollentuna kyrka	Sollentuna sn	Sollentuna hd	Sollentuna		6595907.1619824			0087 (Sollentuna), 110:1 [objektid=10008701100001]		A1; B1; 0; D1; 0; F2; 0	V	?		sten	gråsten	runsten				
U 95  	Sollentuna kyrka	Sollentuna sn	Sollentuna hd	Sollentuna		6595912.1619830			0087 (Sollentuna), 110:2 [objektid=10008701100002]		A1; B3; C7; D1; 0; F3; G2, G4, G6	V	RAK		sten	granit	fragment av runsten	Owe (1996a) läser slutet som ...uartunki vilket tolkas som nuvarande Svartinge.			
U 96  	Edsberg	Sollentuna sn	Sollentuna hd	Sollentuna		6593117.1621742			0087 (Sollentuna), 91 [objektid=10008700910001]		A4; B1; C6, C7; D1; E3; F3; 0	V	Pr3??		sten	granit	fragment av runsten		B 141; L 392		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u96&showthumbnails=true
U 97 † 	Rotebro	Sollentuna sn	Sollentuna hd	Sollentuna		6597350.1619800			0087 (Sollentuna)		A1; B3?; 0; D1; 0; F3; G6?	V	?	Kättil 2 (S)	sten		runsten		L 370		
U 98 † 	Rotsunda	Sollentuna sn	Sollentuna hd	Sollentuna		6598200.1620600			0087 (Sollentuna)			V	?		sten		runsten		B 144; L 369	Salberger 1966	
U 99  	Skillinge	Sollentuna sn	Sollentuna hd	Sollentuna		6595847.1619149	ja		0087 (Sollentuna), 101 [objektid=10008701010001]		A1; B3; 0; D1; 0; F3; 0	V	Pr4		sten		berghäll		B 137; L 389		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u99&showthumbnails=true
U 100  	Skälby	Sollentuna sn	Sollentuna hd	Sollentuna		6595394.1622180			0087 (Sollentuna), 67 [objektid=10008700670001]		A3; B1; C9; D1, D4; E3; F3; 0	V	Pr4		sten	gråsten	runsten	Skålhamra-släkten	B 140; L 393		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u100&showthumbnails=true
U 101  	Södra Sätra	Sollentuna sn	Sollentuna hd	Sollentuna		6594049.1623578			0087 (Sollentuna), 74 [objektid=10008700740001]			V	Pr4		sten	granit	jordfast stenblock				
U 102 $ 	Viby	Sollentuna sn	Sollentuna hd	Sollentuna		6594547.1618875	ja		0087 (Sollentuna), 265 [objektid=10008702650001]		A4; B3; C6, C8; D1; E1; F3; 0	V	Pr4	Fot 2 (A); Ärnfast (A)	sten		berghäll		B 138; L 391	$=Williams 2010a:102 (tolkningen Kal)	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u102&showthumbnails=true
U 103  	Ytterby	Sollentuna sn	Sollentuna hd	Sollentuna	I parken vid Sollentunaholm.	6596700.1618150		6595989.1620272	0087 (Sollentuna), 93 (nuv. plats) [objektid=10008700930001]			V	Pr1	Gunnar (A)	sten	gråsten	runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u103&showthumbnails=true
U 104  	Eds kyrka	Eds sn	Sollentuna hd	Upplands-Väsby	I Ashmolean Museum, Oxford.	6600430.1616810			0012 (Ed)			V	Pr5	Öpir 1 (S)	sten	sandsten	runsten		L 396		
U 105 † 	Eds kyrka	Eds sn	Sollentuna hd	Upplands-Väsby		6600430.1616810			0012 (Ed)			V			sten		eventuellt gravhäll				
U 106 $ 	Prästgården	Eds sn	Sollentuna hd	Upplands-Väsby		6600990.1617825			0012 (Ed), 57 [objektid=10001200570001]		A3; B1; C6, C7; D1; E3; F3; 0	V	Pr3 - Pr4?		sten	granit	runsten			$=Fältex. A	
U 107  	Antuna	Eds sn	Sollentuna hd	Upplands-Väsby		6599075.1618250		6598955.1618028	0012 (Ed), 67:1 (nuv. plats) [objektid=10001200670001]		A1; B1?; C8; D1; 0; F3; 0	V	?		sten		runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u107&showthumbnails=true
U 108 $ 	Bisslinge	Eds sn	Sollentuna hd	Upplands-Väsby	I källarväggen under mangårdsbyggnaden.	6598915.1617623			0012 (Ed), 75:1 [objektid=10001200750001]		A1; B1; C8 ; D1; 0; F3; 0	V	?		sten		runsten		B 141; L 394	$=Larsson 2002:58	
U 109 † 	Bisslinge	Eds sn	Sollentuna hd	Upplands-Väsby		6598900.1617650			0012 (Ed)			V	?		sten		runsten		L 395		
U 110  	Bisslinge	Eds sn	Sollentuna hd	Upplands-Väsby		6598904.1617629			0012 (Ed), 75:2 [objektid=10001200750002]			V	?		sten	granit	fragment av runsten				
U 111 † 	Hjältarängen, Ed	Eds sn	Sollentuna hd	Upplands-Väsby		6599300.1616700			0012 (Ed)			V	?		sten		stenblock				
U 112  	Kyrkstigen, Ed	Eds sn	Sollentuna hd	Upplands-Väsby		6599884.1616814			0012 (Ed), 73:1(1) [objektid=10001200730001]			V	Pr4	Olev (A); Fot 2 (A); Torgöt Fotsarve (A)	sten		flyttblock		B 166; L 397		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u112&showthumbnails=true
U 113 † 	Stenbron, Ed	Eds sn	Sollentuna hd	Upplands-Väsby		6600400.1618575			0012 (Ed)			V	?		sten		fragment av runsten				
U 114 $ 	Runby	Eds sn	Sollentuna hd	Upplands-Väsby		6602378.1618572			0012 (Ed), 45 [objektid=10001200450001]			V	Pr4		sten		flyttblock		B 165; L 398	$=Fältex. A	
U 115 $ 	Runby	Eds sn	Sollentuna hd	Upplands-Väsby		6601754.1618257			0012 (Ed), 148:1(1) [objektid=10001201480001]			V	Pr5	Öpir 1 (A) [svagt grundad attr., Åhlén 1997]	sten	granit	fragment av runsten	1 fragment känt av Dybeck samt ytterligare 4 togs fram 1953 ur grunden till ett rivet hus.		$=Fv 1954:12, http://fornvannen.se/pdf/1950talet/1954_001.pdf	
U 116 $ 	Älvsunda	Eds sn	Sollentuna hd	Upplands-Väsby		6599908.1618618			0012 (Ed), 62:3 [objektid=10001200620003]		A4; B1; C9; D1; E3; F3; 0	V	Pr4	Tyrvi (S) [Åhlén 2004]	sten		jordfast stenblock		B 167; L 401	§Q: $=Åhlén 2004	
U 117  	Älvsunda	Eds sn	Sollentuna hd	Upplands-Väsby		6599906.1618630	ja		0012 (Ed), 62:2 [objektid=10001200620002]			V	Pr4	Öpir 1 (A) [Åhlén 1997]	sten	granit	runsten		B 164; L 399		
U 118  	Älvsunda	Eds sn	Sollentuna hd	Upplands-Väsby		6600063.1618167			0012 (Ed), 60 [objektid=10001200600001]		A1; B2; C9, C10; D1; 0; F3; 0	V	Pr4	Öpir 1 (S)	sten	granit	runsten		B 168; L 400		
U 119  	Älvsunda	Eds sn	Sollentuna hd	Upplands-Väsby	Antuna park.	6600075.1618150		6598924.1618021	0012 (Ed), 67:2 (nuv. plats) [objektid=10001200670002]		A4; B2; C9, C10; D1; 0; F3; 0	V	Pr3	Visäte (A)	sten	gråsten	runsten				
U 120 $ 	Solna kyrka	Solna sn	Danderyds skeppslag	Solna	I sakristian.	6583466.1626220			0088 (Solna), 5 [objektid=10008800050001]			V	?		sten	granit	fragment av runsten			$=Källström 2007a:371	
U 121 $ 	Frösunda	Solna sn	Danderyds skeppslag	Solna		6584938.1625896			0088 (Solna), 23 [objektid=10008800230001]		A4; B1; C2, C9; D1; E1; F3; 0	V	Pr4	Fot 2 (A); Ärnfast (A)	sten	gråsten	runsten		B 143; L 367	$=Lagman 1990:46ff,75; $=Williams manus (tolkningen Sæinn)	
U 122 † 	Järva krog	Solna sn	Danderyds skeppslag	Solna		6586352.1625527			0088 (Solna), 74 [objektid=10008800740001]			V	Pr4	Öpir 1 (S)	sten		fragment av runsten		B 142; L 368		
U 123 † 	Karlberg	Solna sn	Danderyds skeppslag	Solna		6582448.1626178			0088 (Solna), 68 [objektid=10008800680001]		A2; B1; C6, C7; D4; E3; F3; 0	V	Pr3	Sigfast (S) och Ärnfast (S)	sten		berghäll		B 145; L 366		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u123&showthumbnails=true
U 124  	Karlberg, Stenbrottet	Solna sn	Danderyds skeppslag	Solna	I Karlbergs park.	6582600.1626350		6582224.1626115	0088 (Solna), 4 (nuv. plats) [objektid=10008800040001]		A4; B1; C2; D1; E3; F3; 0	V	Pr3	Samma som gjort U 60.	sten	granit	runsten				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u124&showthumbnails=true
U 125  	Tomteboda	Solna sn	Danderyds skeppslag	Solna		6582981.1625952			0088 (Solna), 60 [objektid=10008800600001]			V	?		sten	gråsten	2 fragment av runsten				
U 126 $ 	Över-Järva	Solna sn	Danderyds skeppslag	Solna	Ett litet bevarat fragment finns i SHM (21389).	6587192.1624237			0088 (Solna), 95 (urspr. plats) [objektid=10008800950001], 69 (tid. plats) [objektid=10008800690001]			V	Fp		sten	gråsten	runsten			$=Williams 1989	http://kulturarvsdata.se/shm/media/html/23836
U 127  	Danderyds kyrka	Danderyds sn	Danderyds skeppslag	Danderyd		6589524.1626700			0009 (Danderyd), 2:1 [objektid=10000900020001]		A4; B3; C1; D1; E4; F3; 0	V	Pr2	Fot 2 (A)	sten	granit	runsten		B 1121, B 120; L 660		
U 128  	Danderyds kyrka	Danderyds sn	Danderyds skeppslag	Danderyd	Vid västra innerväggen.	6589522.1626714			0009 (Danderyd), 2:2 [objektid=10000900020002], 2:3 [objektid=10000900020003]			V	Pr5	Öpir 1 (A)	sten	sandsten	runsten				
U 129 $ 	Danderyds kyrka	Danderyds sn	Danderyds skeppslag	Danderyd	Vid västra innerväggen.	6589522.1626714			0009 (Danderyd), 2:4 [objektid=10000900020004]		A1; B1; C10; D1; E3, E7; F3; 0	V	?		sten	sandsten	runsten			$=Williams 2011 (tolkningen Lax)	
U 130  	Nora	Danderyds sn	Danderyds skeppslag	Danderyd		6589240.1625924	ja		0009 (Danderyd), 15 [objektid=10000900150001]		A1 (?); B1; C9; D2; E3, E7; F3; 0	V	Pr4	Åsmund (A), eventuellt samma som gjort U 509.	sten		berghäll		B 1115, B 221; L 662		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u130&showthumbnails=true
U 131  	Rinkeby	Danderyds sn	Danderyds skeppslag	Danderyd	Klockargården	6589750.1626800		6589559.1626534	0009 (Danderyd), 1:1 (nuv. plats) [objektid=10000900010001]		A4; B2; C1; D1; E4 (?); F3; 0	V	Pr3	Fot 2 (A)	sten	granit	runsten		B 1117, B 220; L 661		
U 132 † 	Rinkeby	Danderyds sn	Danderyds skeppslag	Danderyd		6589725.1626950			0009 (Danderyd)			V	?		sten		fragment av runsten				
U 133  	Täby kyrka	Täby sn	Danderyds skeppslag	Täby	I västra och södra väggen av vapenhuset.	6598848.1627554			0104 (Täby), 15:1 [objektid=10010400150001], 15:2 [objektid=10010400150002]			V	Pr3	Fot 2 (A)	sten	granit	runsten	Trasig i 2 delar.	B 129; L 643		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u133&showthumbnails=true
U 134 $ 	Östra Arninge	Täby sn	Danderyds skeppslag	Täby	Fragment A förkommet, B i hembygdsföreningens museum i Rönninge by.	6596572.1632002			0104 (Täby), 77 [objektid=10010400770001]			V	?		sten	rödgrå granit	2 fragment av runsten		B 122; L 659	$=ATA Dnr 5938/64, THS30:72f.; $=Källström 2007a:372	
U 135  	Broby	Täby sn	Danderyds skeppslag	Täby		6597740.1626885			0104 (Täby), 42:4 [objektid=10010400420004]		A4; B2; C1; D1; E4; F3; 0	V	Pr2	Samma som gjort U 136.	sten	granit	runsten	Dubbelmonument tillsammans med U 136.	B 123; L 654		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u135&showthumbnails=true
U 136 $ 	Broby	Täby sn	Danderyds skeppslag	Täby		6597705.1626847			0104 (Täby), 42:6 [objektid=10010400420006]		A4; B1; C1, C6, C7; D1; E4; F3; 0	V	Pr2	Samma som gjort U 135.	sten		runsten	Dubbelmonument tillsammans med U 135. Edberg (2006) pekar på att Sven, Östen och Estrid, inskrivna sent 1000-tal i en broderskapsbok från Reichenau, möjligen kan vara identiska med personerna på U 135 och U 136. Denna identifikation avvisas av Naumann 2009.		$=Salberger 1997	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u136&showthumbnails=true
U 137 $ 	Broby	Täby sn	Danderyds skeppslag	Täby		6597719.1626859			0104 (Täby), 42:5 [objektid=10010400420005]		A1; B2; C1, C7; D1; 0; F3; 0	V	Pr2		sten	granit	runsten	Jarlabanke-släkten		$=Elmevik 1967:113ff	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u137&showthumbnails=true
U 138 † 	Broby	Täby sn	Danderyds skeppslag	Täby		6597500.1626825			0104 (Täby)			V	?		sten		fragment av runsten				
U 139  	Broby	Täby sn	Danderyds skeppslag	Täby		6597540.1626765		6597757.1626935	0104 (Täby), 42:2 (nuv. plats) [objektid=10010400420002]			V	?		sten	granit	fragment av runsten				
U 140  	Broby	Täby sn	Danderyds skeppslag	Täby		6597500.1626800		6597750.1626931	0104 (Täby), 42:3 (nuv. plats) [objektid=10010400420003]			V	Pr2		sten	granit	fragment av runsten				
U 141 †$ 	Fittja	Täby sn	Danderyds skeppslag	Täby		6599384.1626509			0104 (Täby), 9 [objektid=10010400090001]			V	?	Fot 2 (A)	sten	granit	runsten	Endast ett litet fragment bevarat. Även detta fragment nu försvunnet.	B 133; L 657	$=ATA Dnr 6205/71	
U 142  	Fällbro	Täby sn	Danderyds skeppslag	Täby		6597786.1625197			0104 (Täby), 44 [objektid=10010400440001]		A8; B1; 0; 0; 0; F1; 0	V	Pr4	Öpir 1 (S)	sten	granit	runsten		B 128; L 648		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u142&showthumbnails=true
U 143  	Hagby	Täby sn	Danderyds skeppslag	Täby		6596304.1625336	ja		0104 (Täby), 93:1 [objektid=10010400930001]			V	Pr4	Fot 2 (A)	sten		berghäll		B 124; L 650		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u143&showthumbnails=true
U 144  	Hagby	Täby sn	Danderyds skeppslag	Täby		6596270.1625326	ja		0104 (Täby), 93:2 [objektid=10010400930002]			V	Pr4	-fast (A)	sten		berghäll		B 125; L 651		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u144&showthumbnails=true
U 145  	Hagby, Brohammaren	Täby sn	Danderyds skeppslag	Täby		6597669.1625240	ja		0104 (Täby), 46:2 [objektid=10010400460002]		A1; B3; C8; D1; 0; F3; 0	V	Pr4	Olev (S)	sten		berghäll		B 131; L 649, L 652		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u145&showthumbnails=true
U 146 $ 	Hagby, Brohammaren	Täby sn	Danderyds skeppslag	Täby		6597660.1625228	ja		0104 (Täby), 46:1 [objektid=10010400460001]	a, n, s, t är kortkvistvarianter	A1; B3; C10; D1; 0; F3; 0 (G6?)	V	RAK	Drosboe (A) ? [Stille 1999b:205]	sten		berghäll			$=Fältex. C	http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u146&showthumbnails=true
U 147 $ 	Hagby, Sparingsberg	Täby sn	Danderyds skeppslag	Täby		6594805.1624391			0104 (Täby), 114 [objektid=10010401140001]			V	Pr4		sten	gnejs	runsten	Jarlabanke-släkten	B 132; L 653	$=ATA Dnr 423-44-1998	
U 148 $ 	Hagby, Sparingsberg	Täby sn	Danderyds skeppslag	Täby		6594825.1624666			0104 (Täby), 113 [objektid=10010401130001]		A1; B1; C8; D1; E1, E6; F3; 0	V	Pr3		sten	granit	flyttblock	"Jarlabanke-släkten, fragmentet med runorna ""m-"" har gått förlorat."		$=ATA Dnr 423-45-1998	
U 149 † 	Hagby	Täby sn	Danderyds skeppslag	Täby		6595375.1625075			0104 (Täby)		A3; B1; ?; D1; E3; F3; 0	V	?		sten		runsten				
U 150  	Karby	Täby sn	Danderyds skeppslag	Täby		6597906.1627100			0104 (Täby), 33 [objektid=10010400330001]		A2; B1; C6, C7; D1; 0; F3; 0	V	Fp?		sten	granit	runsten		B 126, B 127; L 646		
U 151  	Karby	Täby sn	Danderyds skeppslag	Täby		6597760.1626945			0104 (Täby), 42:1 [objektid=10010400420001]		A4; B2; C3, C6, C7; D4; E3; F3; G3	V	Pr3 - Pr4		sten	granit	runsten		B 130; L 647		
U 152  	Lissby	Täby sn	Danderyds skeppslag	Täby		6597050.1625825		6596887.1625572	0104 (Täby), 74:1 (nuv. plats) [objektid=10010400740001]			V	Pr4		sten	granit	runsten				
U 153  	Lissby	Täby sn	Danderyds skeppslag	Täby		6597050.1625825		6596849.1625585	0104 (Täby), 74:2 (nuv. plats) [objektid=10010400740002]		A4; B1; 0; D1; E3; F3; 0	V	Pr3		sten	granit	runsten				
U 154  	Lissby	Täby sn	Danderyds skeppslag	Täby		6597050.1625825		6596919.1625578	0104 (Täby), 74:3 (nuv. plats) [objektid=10010400740003]			V	Pr3		sten		runsten				
U 155 $ 	Lissby	Täby sn	Danderyds skeppslag	Täby		6597050.1625825		6596846.1625597	0104 (Täby), 74:4 (nuv. plats) [objektid=10010400740004]			V	?		sten	granit	runsten	Hit har förts fragment från U 156 och 157.	U 156; U 157	$=Fv 1964:155, http://fornvannen.se/pdf/1960talet/1964_152.pdf	
U 156 $ 	Lissby	Täby sn	Danderyds skeppslag	Täby	I biblioteket i Täby centrum.	6597050.1625825		6593722.1628373	0104 (Täby), 301 [objektid=10010403010001], 74:4 (tid. nr) [objektid=10010400740004]			V	Pr3		sten		fragment av runsten	1 fragment hör ihop med fragmenten U 155.	U 155	$=Fv 1964:155, http://fornvannen.se/pdf/1960talet/1964_152.pdf	
U 157 $ 	Lissby	Täby sn	Danderyds skeppslag	Täby	I biblioteket i Täby centrum.	6597050.1625825		6593722.1628373	0104 (Täby), 301 [objektid=10010403010001], 74:4 (tid. nr) [objektid=10010400740004]		A4; ?; ?; D1; E3; F3; ?	V	?		sten	ljus kornig granit	fragment av runsten	Alla fragment utom ett runlöst förda till U 155.	U 155	$=Fv 1964:155, http://fornvannen.se/pdf/1960talet/1964_152.pdf	
U 158 †$ 	Löttinge	Täby sn	Danderyds skeppslag	Täby		6597009.1630179			0104 (Täby), 605 [objektid=12000000124031]			V	?		sten		runsten		B 134, B 1120; L 655	$=SRI 10 Dig. suppl. (U 158) (version 0.2)	
U 159  	Löttinge	Täby sn	Danderyds skeppslag	Täby	SHM (22757)	6597020.1630154			0104 (Täby), 318 [objektid=10010403180001]			V	?	Visäte (A) [Källström 1999:113]	sten		runsten		B 1120; L 656		http://kulturarvsdata.se/shm/media/html/24392, http://kulturarvsdata.se/shm/media/html/24393
U 160  	Risbyle	Täby sn	Danderyds skeppslag	Täby		6600684.1624808			0104 (Täby), 1 [objektid=10010400010001]		A1; B1; C1; D5; 0; F3; 0	V	Pr1	Ulv i Borresta (A); Gunnar (A)	sten	granit	runsten		B 87; L 415		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u160&showthumbnails=true
U 161  	Risbyle	Täby sn	Danderyds skeppslag	Täby		6600642.1624892			0104 (Täby), 2 [objektid=10010400020001]		A1; B1; 0; D1; 0; F3; 0 & A1; B1; 0; D1, D3; 0; F3; 0 & A1; B1; C1; D5; 0; F3; 0 & A9; B1; 0; 0; 0; F2; 0	V	Pr1	Ulv i Borresta (S); Gunnar (A)	sten	granit	runsten		B 1124; L 414		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u161&showthumbnails=true
U 162 † 	Skogberga	Täby sn	Danderyds skeppslag	Täby		6598300.1629325			0104 (Täby)			V	?	Olev (S)	sten		runsten		B 121; L 658		
U 163  	Såsta	Täby sn	Danderyds skeppslag	Täby		6597400.1626308	ja		0104 (Täby), 54 [objektid=10010400540001]		A1; B1; C2, C9; D1; E3; F3; 0	V	Pr4	-fast (S)	sten		berghäll				http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u163&showthumbnails=true
U 164  	Täby tä	Täby sn	Danderyds skeppslag	Täby		6599840.1627890			0104 (Täby), 4:2 [objektid=10010400040002]		A4; B2; C3; D1; E3; F3; 0	V	Pr2 - Pr3	Fot 2 (A)	sten	granit	runsten		B 119; L 645		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u164&showthumbnails=true
U 165  	Täby tä	Täby sn	Danderyds skeppslag	Täby		6599837.1627901			0104 (Täby), 4:1 [objektid=10010400040001]		A4; B3; C1; D1; E3; F3; 0	V	Pr2	Fot 2 (A)	sten	granit	runsten		L 644		http://www.kms.raa.se/cocoon/bild/object_list_simple?query=u165&showthumbnails=true
U 166  	Östra Ryds kyrka	Östra Ryds sn	Danderyds skeppslag	Österåker	I norra väggen.	6594460.1635621			0126B (Östra Ryd), 61:2 [objektid=10012600610002]			V	Pr4		sten	gråsten	runsten		L 640		
